Part Type,Team,TS,ACC,DEC,HSC,MSC,LSC,Reliability,Condition,Age,Performance Improvability
Engine,2,980,,,,,,90,90,19,5
Engine,2,977,,,,,,80,80,28,3
Engine,3,750,,,,,,90,90,28,12
Engine,3,747,,,,,,90,90,14,8
Engine,4,930,,,,,,70,70,23,12
Engine,4,928,,,,,,90,90,2,9
Engine,5,832,,,,,,90,90,19,12
Engine,5,830,,,,,,90,90,5,3
Engine,6,604,,,,,,65,65,3,11
Engine,6,604,,,,,,65,65,20,10
Engine,7,900,,,,,,85,85,22,4
Engine,7,900,,,,,,90,90,3,7
Engine,8,800,,,,,,80,80,28,10
Engine,8,797,,,,,,80,80,33,12
Engine,9,730,,,,,,70,70,26,12
Engine,9,730,,,,,,75,75,34,5
Engine,10,860,,,,,,65,65,27,7
Engine,10,857,,,,,,85,85,14,10
Engine,11,642,,,,,,85,85,35,12
Engine,11,640,,,,,,85,85,3,4
Engine,12,155,,,,,,85,85,19,12
Engine,12,155,,,,,,85,85,28,12
Engine,13,150,,,,,,85,85,28,9
Engine,13,147,,,,,,85,85,14,6
Engine,14,150,,,,,,85,85,23,11
Engine,14,148,,,,,,85,85,2,3
Engine,15,150,,,,,,85,85,19,7
Engine,15,150,,,,,,85,85,5,12
Engine,16,150,,,,,,85,85,3,8
Engine,16,149,,,,,,85,85,20,7
Engine,17,150,,,,,,85,85,22,4
Engine,17,148,,,,,,85,85,3,12
Engine,18,150,,,,,,85,85,28,3
Engine,18,149,,,,,,85,85,33,6
Engine,19,150,,,,,,85,85,26,8
Engine,19,149,,,,,,85,85,34,6
Engine,20,150,,,,,,85,85,27,8
Engine,20,148,,,,,,85,85,14,6
Engine,21,150,,,,,,85,85,35,8
Engine,21,148,,,,,,85,85,3,6
Engine,22,117,,,,,,65,65,20,6
Engine,22,116,,,,,,75,75,26,4
Engine,23,219,,,,,,65,65,18,9
Engine,23,216,,,,,,75,75,9,3
Engine,24,91,,,,,,70,70,22,4
Engine,24,90,,,,,,80,80,28,6
Engine,25,130,,,,,,80,80,15,4
Engine,25,128,,,,,,70,70,15,3
Engine,26,187,,,,,,65,65,9,12
Engine,26,184,,,,,,65,65,7,4
Engine,27,145,,,,,,80,80,22,11
Engine,27,142,,,,,,85,85,18,7
Engine,28,90,,,,,,65,65,27,3
Engine,28,88,,,,,,80,80,3,12
Engine,29,5,,,,,,60,60,26,4
Engine,29,3,,,,,,58,58,18,5
Engine,30,35,,,,,,65,65,6,10
Engine,30,34,,,,,,65,65,10,5
Engine,31,64,,,,,,65,65,6,5
Engine,31,61,,,,,,65,65,6,5
Engine GT,32,490,,,,,,65,65,20,6
Engine GT,32,469,,,,,,75,75,26,4
Engine GT,33,483,,,,,,65,65,18,9
Engine GT,33,460,,,,,,75,75,9,3
Engine GT,34,478,,,,,,70,70,22,4
Engine GT,34,450,,,,,,80,80,28,6
Engine GT,35,420,,,,,,80,80,15,4
Engine GT,35,390,,,,,,70,70,15,3
Engine GT,36,385,,,,,,65,65,9,12
Engine GT,36,350,,,,,,65,65,7,4
Engine GT,37,284,,,,,,80,80,22,11
Engine GT,37,284,,,,,,85,85,18,7
Engine GT,38,292,,,,,,65,65,27,3
Engine GT,38,289,,,,,,80,80,3,12
Engine GT,39,257,,,,,,60,60,26,4
Engine GT,39,257,,,,,,58,58,18,5
Engine GT,40,268,,,,,,65,65,6,10
Engine GT,40,268,,,,,,65,65,10,5
Engine GT,41,204,,,,,,65,65,6,5
Engine GT,41,204,,,,,,65,65,6,5
Engine GT,42,300,,,,,,65,65,20,6
Engine GT,42,290,,,,,,75,75,26,4
Engine GT,43,305,,,,,,65,65,18,9
Engine GT,43,282,,,,,,75,75,9,3
Engine GT,44,200,,,,,,70,70,22,4
Engine GT,44,185,,,,,,80,80,28,6
Engine GT,45,245,,,,,,80,80,15,4
Engine GT,45,260,,,,,,70,70,15,3
Engine GT,46,149,,,,,,65,65,9,12
Engine GT,46,146,,,,,,65,65,7,4
Engine GT,47,109,,,,,,80,80,22,11
Engine GT,47,106,,,,,,85,85,18,7
Engine GT,48,85,,,,,,65,65,27,3
Engine GT,48,82,,,,,,80,80,3,12
Engine GT,49,37,,,,,,60,60,26,4
Engine GT,49,35,,,,,,58,58,18,5
Engine GT,50,56,,,,,,65,65,6,10
Engine GT,50,54,,,,,,65,65,10,5
Engine GT,51,14,,,,,,65,65,6,5
Engine GT,51,13,,,,,,65,65,6,5
EngineGET,52,999,,,,,,75,75,20,6
EngineGET,52,990,,,,,,73,73,26,4
EngineGET,53,957,,,,,,65,65,18,9
EngineGET,53,949,,,,,,75,75,9,3
EngineGET,54,967,,,,,,73,73,22,4
EngineGET,54,964,,,,,,70,70,28,6
EngineGET,55,712,,,,,,60,60,15,4
EngineGET,55,686,,,,,,59,59,15,3
EngineGET,56,624,,,,,,100,100,9,12
EngineGET,56,618,,,,,,100,100,7,4
EngineGET,57,804,,,,,,68,68,22,11
EngineGET,57,799,,,,,,65,65,18,7
EngineGET,58,50,,,,,,70,70,27,3
EngineGET,58,41,,,,,,80,80,3,12
EngineGET,59,55,,,,,,75,75,26,4
EngineGET,59,46,,,,,,70,70,18,5
EngineGET,60,43,,,,,,80,80,6,10
EngineGET,60,36,,,,,,70,70,10,5
EngineGET,61,24,,,,,,70,70,6,5
EngineGET,61,15,,,,,,68,68,6,5
EngineGET,62,36,,,,,,85,85,20,6
EngineGET,62,36,,,,,,83,83,26,4
EngineGET,63,33,,,,,,75,75,18,9
EngineGET,63,30,,,,,,75,75,9,3
Gearbox,2,,920,,,,,70,70,36,8
Gearbox,2,,918,,,,,70,70,14,7
Gearbox,3,,990,,,,,80,80,26,7
Gearbox,3,,989,,,,,75,75,39,3
Gearbox,4,,872,,,,,85,85,16,6
Gearbox,4,,870,,,,,70,70,39,4
Gearbox,5,,924,,,,,70,70,4,5
Gearbox,5,,921,,,,,80,80,8,8
Gearbox,6,,782,,,,,85,85,16,8
Gearbox,6,,779,,,,,80,80,9,4
Gearbox,7,,860,,,,,70,70,15,10
Gearbox,7,,858,,,,,65,65,35,9
Gearbox,8,,722,,,,,75,75,13,10
Gearbox,8,,720,,,,,85,85,12,11
Gearbox,9,,676,,,,,70,70,37,3
Gearbox,9,,676,,,,,80,80,15,6
Gearbox,10,,612,,,,,75,75,15,3
Gearbox,10,,609,,,,,65,65,17,10
