Team,Location,Size,Site space,Scene,Design Centre,Factory,Telemetry Centre,Test Track,Wind Tunnel,Simulator,Brakes Research Facility,Ride Handling Development,Scouting Facility,Staff Housing,Logistics Centre,Road Car Factory,Tour Centre,Theme Park,Helipad
2,Germany,60000,75000,Headquarters_01,4,3,,2,1,,,,1,,,,1,,1
3,UK,40000,60000,Headquarters_01,4,3,,,1,,,,,,,,1,,
4,UK,30000,90000,Headquarters_01,3,3,,1,,,1,1,,,2,,1,,
5,Italy,80000,120000,Headquarters_01,3,3,,1,,,2,,,,1,1,1,,1
6,Japan,50000,100000,Headquarters_01,4,4,,,,,,1,1,,,1,,,1
64,Japan,50000,100000,Headquarters_01,1,1,,,,,,1,1,,,1,,,1
7,UK,10000,40000,Headquarters_01,2,2,,,,1,,,,1,,,,,
8,Italy,30000,90000,Headquarters_01,2,2,,1,,,,1,1,,1,,,,1
9,UK,15000,100000,Headquarters_01,3,2,1,,1,,,,,,,,,,
10,Switzerland,20000,40000,Headquarters_01,2,2,,,,,1,,1,,,,1,,
11,UK,10000,20000,Headquarters_01,2,1,,,,,,,,,,,,,
12,Portugal,60000,75000,Headquarters_01,2,2,,1,,,,1,,2,1,,1,,
13,UnitedStates,40000,60000,Headquarters_01,2,2,,,,,,,1,,,,1,,
14,France,30000,90000,Headquarters_01,1,2,,,,,,,2,,,,,,
15,Spain,80000,120000,Headquarters_01,2,2,,,1,,,,,,,,,,
16,RussianFederation,50000,100000,Headquarters_01,1,2,,,,,,,,1,,,,,
17,Italy,10000,40000,Headquarters_01,2,1,,,,1,,,,,,,,,
18,Mexico,30000,90000,Headquarters_01,2,1,,,,,,,,,,,,,
19,Japan,15000,100000,Headquarters_01,1,2,,,,,,,,,,,,,
20,Italy,20000,40000,Headquarters_01,1,1,,,,,,,,,,,,,
21,Germany,10000,20000,Headquarters_01,2,2,,,,,,,,,,,1,,
22,UK,60000,75000,Headquarters_01,2,2,,,,,,,,,2,,1,,
23,India,40000,60000,Headquarters_01,2,2,,1,,,,,,1,,,,,
24,Canada,30000,90000,Headquarters_01,1,1,,,,,,,,,,,,,
25,Finland,80000,120000,Headquarters_01,1,1,,,,,,,,,,,,,
26,RussianFederation,50000,100000,Headquarters_01,2,1,,,,,,,1,1,,,,,
27,Brazil,10000,40000,Headquarters_01,1,2,,,,,,,,,,,,,
28,China,30000,90000,Headquarters_01,2,2,,,,,,,1,,,,,,
29,Australia,15000,100000,Headquarters_01,1,1,,,,,,,,,,,,,
30,UnitedStates,20000,40000,Headquarters_01,1,1,,,,,,,,,,,,,
31,UK,10000,20000,Headquarters_01,1,2,,,,,,,,1,,,,,
32,UnitedStates,10000,20000,Headquarters_01,2,2,,2,,,1,,1,,1,,1,,1
33,UK,10000,20000,Headquarters_01,2,2,1,,,2,,,1,1,,,1,,1
34,Japan,10000,20000,Headquarters_01,2,2,1,1,,,,,1,,,,1,,
35,Netherlands,10000,20000,Headquarters_01,2,2,,1,,,,2,,,,,1,,1
36,Germany,10000,20000,Headquarters_01,1,2,,,,,1,,,,,,,,
37,UnitedStates,10000,20000,Headquarters_01,2,1,,,,1,,,,,,,,,
38,Poland,10000,20000,Headquarters_01,2,1,,,,,,,,1,,,,,
39,Canada,10000,20000,Headquarters_01,1,2,,,,,,,,,1,,,,
40,Germany,10000,20000,Headquarters_01,1,2,,,,,,,,,,,,,
41,Italy,10000,20000,Headquarters_01,1,1,,,,,,,,,,,,,
42,Sweden,10000,20000,Headquarters_01,2,2,1,,,,,,1,1,,,1,,
43,Norway,10000,20000,Headquarters_01,2,2,,,,,,1,1,,,,1,,
44,Belgium,10000,20000,Headquarters_01,2,1,,,,,,,,,,,,,
45,Japan,10000,20000,Headquarters_01,1,1,,,,,,,,,,,,,
46,UK,10000,20000,Headquarters_01,1,1,,,,,,,1,,,,,,
47,France,10000,20000,Headquarters_01,1,2,,,,,,,,,,,,,
48,UnitedStates,10000,20000,Headquarters_01,1,2,,,,,,,1,,,,,,
49,Hungary,10000,20000,Headquarters_01,1,1,,,,,,,,,,,,,
50,UnitedStates,10000,20000,Headquarters_01,1,1,,,,,,,,,,,,,
51,UK,10000,20000,Headquarters_01,1,1,,,,,,,,,,,,,
52,Spain,10000,20000,Headquarters_01,2,2,,1,,,1,,,,,,,,
53,Japan,10000,20000,Headquarters_01,2,3,,,1,,,1,,,,1,,,1
54,Germany,10000,20000,Headquarters_01,2,2,,,,,1,1,,1,1,,1,,
55,France,10000,20000,Headquarters_01,3,2,1,,,1,,,1,,,1,,,
56,France,10000,20000,Headquarters_01,2,2,,,,,,,1,,,,,,
57,UK,10000,20000,Headquarters_01,3,3,,1,,1,1,,,1,,,,,
58,Switzerland,10000,20000,Headquarters_01,2,1,,,,1,,,,,,,,,
59,China,10000,20000,Headquarters_01,2,2,,,1,,1,,,,,,,,
60,RussianFederation,10000,20000,Headquarters_01,2,2,1,,,,,1,,,1,,,,
61,SouthKorea,10000,20000,Headquarters_01,1,1,,,,,,,,,,,,,
62,France,10000,20000,Headquarters_01,1,1,,,,1,,,,,,,,,
63,Thailand,10000,20000,Headquarters_01,1,2,,,1,1,,,,,1,,,,
65,Mexico,50000,100000,Headquarters_01,1,1,,,,,,,,,,,,,
66,Japan,50000,100000,Headquarters_01,1,1,1,,,,,,,,,,,,
67,Italy,50000,100000,Headquarters_01,1,1,,1,,,,,,,,,,,
68,Germany,50000,100000,Headquarters_01,2,1,,,,,,1,,1,,,,,
69,UK,50000,100000,Headquarters_01,1,2,,,1,,,,,,,,,,
70,India,50000,100000,Headquarters_01,2,2,,,1,,,,1,,,,,,1
71,Canada,50000,100000,Headquarters_01,1,2,,,,,,1,,,,,1,1,
72,Finland,50000,100000,Headquarters_01,2,2,,,,,,,,1,,,,,
73,RussianFederation,50000,100000,Headquarters_01,2,1,,,1,,,,,,,,,,
