First Name,Last Name,Gender,Team,Nationality,DOB,Backstory,Reputation,Race management,Financial,Loyalty,Job Security,Contract Start,Contract End,Skin Colour,Hair,Hair Colour,Glasses,Accessory,Facial Hair,Peak Age,Peak Duration,Races,Wins,Podiums,Poles,DNFs,DNFs via error,DNS,Career Points,Championships
Wulfgang,Roth,M,2,Germany,12/01/1973,Business,95,13,20,14,100,2016,2018,1,11,11,3,0,0,60,4,150,34,72,40,19,9,0,1529,2
Jonathan,Guinness,M,3,UK,16/11/1973,Ex-Driver,64,18,13,18,67,2016,2019,1,1,9,2,0,0,66,1,168,8,28,15,27,15,0,921,0
Charlotte,Windsor,F,4,UK,21/07/1976,Business,72,16,17,16,91,2016,2017,1,8,10,1,0,10,69,3,71,3,8,0,8,6,0,277,0
Roberto,Agostini,M,5,Italy,07/03/1957,Ex-Driver,81,19,19,11,100,2015,2018,1,1,11,1,0,2,58,3,21,0,0,0,5,2,0,10,0
Bruno,Martial,M,6,France,09/11/1973,Ex-Engineer,43,12,11,7,19,2016,2020,1,3,10,0,0,0,60,5,40,0,6,0,3,1,0,200,0
Elena,Nesterova,F,7,RussianFederation,18/12/1955,Business,78,14,18,8,100,2015,2020,4,12,11,0,0,3,70,5,214,11,39,16,31,16,0,970,0
Max,Neumann,M,8,Austria,20/01/1956,Ex-Driver,30,16,6,3,80,2017,2019,0,7,11,0,0,0,65,5,141,40,68,45,21,10,0,1658,4
Jan Willem,Strootman,M,9,Netherlands,27/12/1971,Business,24,10,17,7,100,2016,2018,0,10,6,0,0,8,55,4,215,20,77,16,45,14,0,1036,1
Priti,Kapoor,F,10,India,10/05/1971,Legal,73,15,15,11,69,2015,2017,0,1,0,0,0,10,64,4,237,32,97,22,35,24,0,1767,2
Daniel,Bullingdon,M,11,UK,18/12/1954,Ex-Driver,48,16,8,13,57,2016,2018,4,2,8,1,0,1,70,4,270,15,50,8,50,11,0,1198,1
Enrique,Lorenzo,M,12,Spain,30/08/1973,Ex-Engineer,83,13,5,10,71,2016,2017,1,12,4,0,0,0,67,1,79,0,0,1,9,4,0,238,0
Walter,Simpson,M,13,UK,17/08/1961,Ex-Driver,29,13,6,17,90,2015,2017,1,2,9,0,0,9,63,3,79,0,4,0,12,3,0,189,0
Patricia,Rosner,F,14,Germany,26/11/1975,Business,46,14,15,5,100,2016,2019,1,10,4,0,0,3,68,1,2,0,0,0,1,1,0,6,0
Rory,Anderson,M,15,UK,15/06/1963,Ex-Engineer,9,9,13,9,83,2017,2017,0,2,11,0,0,0,64,2,2,0,0,0,0,0,0,6,0
Johnny,di Marco,M,16,UnitedStates,18/09/1957,Ex-Driver,61,14,15,16,45,2016,2019,0,7,9,3,0,1,57,4,66,0,9,0,20,12,0,236,0
Felix,Muller,M,17,Germany,21/04/1968,Ex-Driver,9,6,5,11,100,2016,2018,3,1,11,0,0,0,56,3,79,1,1,1,20,16,0,49,0
Rebecca,Batey,F,18,UK,15/08/1951,Business,10,14,6,11,20,2017,2017,1,11,9,0,0,4,58,2,18,0,0,0,6,3,0,4,0
Connor,Black,M,19,Ireland,26/04/1968,Ex-Engineer,38,18,5,17,100,2016,2020,2,5,9,1,0,4,59,4,2,0,0,0,0,0,0,10,0
Mario,Louis,M,20,Italy,26/02/1967,Ex-Engineer,95,12,9,9,52,2017,2017,0,8,7,0,0,1,64,1,2,0,0,0,0,0,2,0,0
Maria,Thibeault,F,21,France,12/12/1976,Business,98,7,11,15,100,2016,2017,2,8,5,1,0,0,69,5,2,0,0,0,0,0,2,0,0
Vladimir,Ivanov,M,22,RussianFederation,20/02/1980,Ex-Driver,45,11,8,17,50,2016,2018,1,11,7,1,0,1,57,5,0,0,0,0,0,0,0,0,0
Max,Neumann,M,23,Austria,16/05/1952,Business,34,9,5,5,76,2016,2019,2,9,11,0,0,11,58,5,19,0,0,0,5,3,0,4,0
Joachim,Wagner,M,24,Germany,11/02/1955,Ex-Engineer,74,14,7,13,100,2016,2017,1,5,4,0,0,5,57,1,0,0,0,0,0,0,0,0,0
Harvey,Wheaton,M,25,UK,04/08/1975,Ex-Driver,54,6,13,8,100,2015,2018,0,10,0,0,0,8,70,2,1,0,0,0,0,0,0,6,0
