"Game Area","Source","Criteria","Who","English","ID","Trigger","User Data","Repeatable","Memory","Notes","English Old","French","Italian","German","Spanish","Brasilian","Dutch","Hungarian","Polish","Russian"
"Post Race - Interviews","InterviewRequests","","HUDText","You accepted the interview.","PSG_10000629","","","TRUE","","","","Vous avez accepté l'interview.","Hai accettato l'intervista.","Sie haben das Interview angenommen.","Has aceptado la entrevista.","Você aceitou a entrevista.","Je hebt het interview geaccepteerd.","Elvállaltad az interjút.","Zgadzasz się na wywiad.","Вы согласились на интервью."
"Post Race - Interviews","InterviewRequests","","HUDText","You rejected the interview.","PSG_10000630","","","TRUE","","","","Vous avez refusé l'interview.","Hai rifiutato l'intervista.","Sie haben das Interview abgelehnt.","Has rechazado la entrevista.","Você recusou a entrevista.","Je hebt het interview geweigerd.","Elutasítottad az interjút.","Odmawiasz udzielenia wywiadu.","Вы не согласились на интервью."
"Post Race - Interviews","InterviewButtons","","HUDText","Accept Interview","PSG_10000627","","","TRUE","","","","Accepter l'interview","Accetta l'intervista","Interview annehmen","Aceptar la entrevista","Aceitar entrevista","Interview accepteren","Interjú elvállalása","Zgódź się na wywiad","Согласиться на интервью"
"Post Race - Interviews","InterviewButtons","","HUDText","Reject Interview","PSG_10000628","","","TRUE","","","","Refuser l'interview","Rifiuta l'intervista","Interview ablehnen","Rechazar la entrevista","Recusar entrevista","Interview weigeren","Interjú elutasítása","Odmów wywiadu","Не соглашаться на интервью"
"Post Race - Interviews","InterviewStarters","","MediaPerson","Hi {Player:FirstName}, got a second to talk to {Publication}?","PSG_10000599","","","TRUE","","","","Bonjour {Player:FirstName}, vous avez une minute pour parler à {Publication} ?","Ciao {Player:FirstName}, hai un secondo per parlare con {Publication}?","Hallo {Player:FirstName}, hätten Sie eine Sekunde Zeit für {Publication}?","Hola, {Player:FirstName}, ¿tienes un segundo para {Publication}?","Olá {Player:FirstName}, tem um segundo para falar com {Publication}?","Hallo, {Player:FirstName}. Heb je even tijd voor een gesprek met {Publication}?","Helló, {Player:FirstName}, kaphat tőled egy másodpercet a(z) {Publication}?","{Player:FirstName}! {Publication} chce przeprowadzić z tobą wywiad, masz może chwilkę?","Здравствуйте, {Player:FirstName}. Не уделите пару минут изданию {Publication}?"
"Post Race - Interviews","InterviewStarters","","MediaPerson","{Player:FirstName}, do you have a moment for {Publication}?","PSG_10001685","","","TRUE","","","","{Player:FirstName} ! Vous voulez bien dire quelques mots pour {Publication} ?","{Player:FirstName}! Scambieresti due parole con {Publication}?","{Player:FirstName}! Dürften wir einen schnellen Kommentar für {Publication} haben?","¡{Player:FirstName}! ¿Tienes unos instantes para {Publication}?","{Player:FirstName}, você tem um minuto para falar com {Publication}?","{Player:FirstName}, heb je even tijd voor {Publication}?","{Player:FirstName}! Hallhat tőled egy-két szót a(z) {Publication}?","{Player:FirstName}! {Publication} pyta, czy znajdziesz chwilę?","{Player:FirstName}! Можно взять у вас небольшое интервью для издания {Publication}?"
"Post Race - Interviews","InterviewStarters","","MediaPerson","{Player:FirstName}! Could we grab a quick word for {Publication}?","PSG_10003712","","","TRUE","","","","{Player:FirstName} ! Vous voulez bien dire quelques mots pour {Publication} ?","{Player:FirstName}! Scambieresti due parole con {Publication}?","{Player:FirstName}! Dürften wir einen kurzen Kommentar für {Publication} haben?","¡{Player:FirstName}! ¿Puedes dedicarnos unas palabras para {Publication}?","{Player:FirstName}! Poderia dar uma palavrinha para {Publication}?","{Player:FirstName}! Kunnen we een kort commentaar krijgen voor {Publication}?","{Player:FirstName}! Lenne egy-két perced a(z) {Publication} számára?","{Player:FirstName}! {Publication} prosi o dwa słowa komentarza!","{Player:FirstName}! Можно пару слов для издания {Publication}?"
"Media Interviews","InterviewRequest","","MediaPerson","Hi, {Player:FirstName}.","PSG_10000631","","","TRUE","","","","Bonjour, {Player:FirstName}.","Ciao, {Player:FirstName}.","Hallo, {Player:FirstName}.","Hola, {Player:FirstName}.","Olá, {Player:FirstName}.","Hallo, {Player:FirstName}.","Helló, {Player:FirstName}!","Cześć, {Player:FirstName}!","Здравствуйте, {Player:FirstName}."
"Media Interviews","GameStartInterviewRequest","Type = Header; PlayerEmployed = True;","MediaPerson","Interview Request with {MediaOutlet}","PSG_10000691","Type = Body0","MailType = RequiresResponse; AddDays = 6; MailGroup = Media","TRUE","","","","Demande d'interview avec {MediaOutlet}","Richiesta di intervista con {MediaOutlet}","Interviewanfrage von {MediaOutlet}","Petición de entrevista de {MediaOutlet}","Pedido de entrevista com {MediaOutlet}","Interviewaanvraag met {MediaOutlet}","A(z) {MediaOutlet} interjút kér","Prośba o wywiad – {MediaOutlet}","Запрос на интервью изданию {MediaOutlet}"
"Media Interviews","GameStartInterviewRequest","Type = Body0","MediaPerson","Congratulations on joining {Player:Team}! Are you interested in doing an interview for {MediaOutlet} so that we can all get to know you a bit better?","PSG_10000632","Source = GameStartInterview; Who = MediaPerson; Type = Question1;","MailButton = RejectInterview; MailButton = StartInterview; InterviewStart = True; AddLineBreaks = 2;","TRUE","","","","Félicitations pour votre recrutement chez {Player:Team} ! Accepteriez-vous de vous entretenir avec {MediaOutlet} pour que tout le monde puisse faire votre connaissance ?","Congratulazioni per il tuo arrivo alla scuderia {Player:Team}! Accetteresti un'intervista con {MediaOutlet}? Vorremmo conoscerti un po' meglio.","Sie sind jetzt bei {Player:Team}! Herzlichen Glückwunsch! Haben Sie Interesse an einem Interview mit {MediaOutlet}, damit wir Sie alle ein wenig besser kennenlernen können?","¡Enhorabuena por fichar por {Player:Team}! ¿Te apetece conceder una entrevista a {MediaOutlet} para que todos puedan conocerte un poco mejor?","Parabéns por se juntar à {Player:Team}! Você tem interesse em fazer uma entrevista com {MediaOutlet} para que todos possam te conhecer um pouco melhor?","Gefeliciteerd met je nieuwe baan bij {Player:Team}! Ben je geïnteresseerd in een interview met {MediaOutlet}, zodat we je allemaal een beetje beter kunnen leren kennen?","Gratulálok, hogy a(z) {Player:Team} csapat tagja lettél! Lenne kedved interjút adni a(z) {MediaOutlet} számára, hogy mind megismerhessünk valamivel jobban? ","Gratulujemy dołączenia do zespołu {Player:Team}! Czy moglibyśmy cię prosić o udzielenie wywiadu dla {MediaOutlet}, abyśmy mogli lepiej cię poznać?","Поздравляем с приходом в команду {Player:Team}! Не хотите ли дать интервью изданию {MediaOutlet}, чтобы мы все узнали вас чуточку лучше?"
