Month,Cool - Min,Cool - Max,Cool - Clear,Cool - Cloudy,Cool - Overcast,Cool - Stormy,Moderate - Min,Moderate - Max,Moderate - Clear,Moderate - Cloudy,Moderate - Overcast,Moderate - Stormy,Warm - Min,Warm - Max,Warm - Clear,Warm - Cloudy,Warm - Overcast,Warm - Stormy,Tropical - Min,Tropical - Max,Tropical - Clear,Tropical - Cloudy,Tropical - Overcast,Tropical - Stormy,Dry - Min,Dry - Max,Dry - Clear,Dry - Cloudy,Dry - Overcast,Dry - Stormy,Dry - Rainfall
January,-2,8,0.2,0.1,0.4,0.3,2,6,0.25,0.3,0.05,0.4,11,18,0.5,0.3,0.05,0.15,23,30,0.5,0.05,0.1,0.35,12,23,0.98,0,0,0.02,23
February,0,10,0.3,0.1,0.3,0.3,6,11,0.43,0.4,0.02,0.15,12,19,0.5,0.3,0.05,0.15,23,31,0.5,0.05,0.1,0.35,14,24,0.99,0,0,0.01,23
March,4,14,0.3,0.1,0.3,0.3,11,20,0.43,0.4,0.02,0.15,13,22,0.85,0.1,0.02,0.03,24,31,0.5,0.05,0.1,0.35,20,27,0.99,0,0,0.01,10
April,8,19,0.4,0.05,0.25,0.3,12,21,0.43,0.4,0.02,0.15,14,26,0.85,0.1,0.02,0.03,24,31,0.5,0.05,0.1,0.35,21,30,0.99,0,0,0.01,5
May,10,20,0.5,0.05,0.15,0.3,13,24,0.43,0.4,0.02,0.15,15,27,0.85,0.1,0.02,0.03,24,32,0.5,0.05,0.1,0.35,22,34,0.99,0,0,0.01,0
June,12,24,0.6,0.05,0.15,0.2,16,27,0.43,0.4,0.02,0.15,18,29,0.85,0.1,0.02,0.03,24,31,0.5,0.05,0.1,0.35,25,35,0.99,0,0,0.01,0
July,15,26,0.6,0.05,0.05,0.3,15,28,0.43,0.4,0.02,0.15,21,32,0.85,0.1,0.02,0.03,24,31,0.5,0.05,0.1,0.35,26,36,0.99,0,0,0.01,0
August,12,20,0.6,0.05,0.05,0.3,14,21,0.43,0.4,0.02,0.15,21,32,0.85,0.1,0.02,0.03,24,31,0.5,0.05,0.1,0.35,26,36,0.99,0,0,0.01,0
September,9,18,0.4,0.1,0.2,0.3,13,20,0.43,0.4,0.02,0.15,19,29,0.85,0.1,0.02,0.03,24,31,0.5,0.05,0.1,0.35,25,36,0.99,0,0,0.01,0
October,7,17,0.3,0.1,0.3,0.3,12,19,0.43,0.4,0.02,0.15,15,23,0.85,0.1,0.02,0.03,23,31,0.5,0.05,0.1,0.35,22,33,0.99,0,0,0.01,0
November,2,11,0.3,0.1,0.3,0.3,11,18,0.43,0.4,0.02,0.15,13,20,0.5,0.3,0.05,0.15,23,31,0.5,0.05,0.1,0.35,20,31,0.99,0,0,0.01,10
December,0,9,0.2,0.1,0.4,0.3,6,8,0.25,0.3,0.05,0.4,12,19,0.5,0.3,0.05,0.15,23,31,0.5,0.05,0.1,0.35,14,26,0.98,0,0,0.02,36
