First Name,Last Name,Gender,Championship ID,Status,Car,Nationality,DOB,Traits,Fame,Scouting Level,Weight,Wages,Contract End,Contract Start,Qualifying Bonus Amount,Qualifying Bonus Position,Race Bonus Amount,Race Bonus Position,Champion Bonus,Pay Driver,Braking,Cornering,Smoothness,Overtaking,Consistency,Adaptability,Fitness,Feedback,Focus,Optimal Zone,Driving Style,Driver Number,Races,Wins,Podiums,Poles,DNFs,DNFs via error,DNS,Career Points,Championships,Form,Experience,Morale,Obedience,Potential,Patience,Chairman Popularity,Fans Popularity,Sponsor Popularity,Skin Colour,Hair,Hair Colour,Glasses,Accessory,Facial Hair,Body Type,Hat,Helmet Style,Helmet Primary Colour,Helmet Secondary Colour,Helmet Tertiary Colour,Marketability,Brake Supplier Preference,Improvement Rate,Peak Duration,Peak Age,Desired Championships,Desired Wins,Desired Earnings,Desired Budget,Stars,Series Preference
Pavel,Vasilievich,M,0,Equal,,RussianFederation,03/08/1992,7,-1,0,69,3.9,2016,2016,0,,0,,0,0,11.5,10.6,7.6,15.3,12.8,11.1,9,10.76,9.4,0.52,42,,,,,,,,,,,,51,10,16,0,2,51,69,33,0,3,4,1,0,0,0,5,0,1,3,8,15,4,5,2,32,2,1,0,100,2.723888889,SingleSeaterSeries
Ellie,Rose,F,0,Equal,,UK,28/06/1991,20,-1,0,76,3.57,2016,2016,0,,0,,0,0,12.7,9.25,10.9,8.8,10.6,13.3,7,13.9,8.7,0.45,31,,,,,,,,,,,,22,14,75,0,2,23,21,83,0,4,8,0,0,1,0,3,0,5,8,4,21,5,11,1,30,2,1,0,100,2.643055556,SingleSeaterSeries
Adric,Meiko,M,0,Reserve,,Jamaica,20/03/1989,292,-1,0,76,0.71,2016,2016,0,,0,,0,0,1.7,4.25,6.9,8.8,7.6,2.3,4,11.1,4.7,0.58,31,,,,,,,,,,,,22,14,75,0,2,23,21,83,4,4,8,0,0,1,0,3,0,5,8,4,21,5,11,1,30,2,1,0,100,1.426388889,SingleSeaterSeries
Gunther,Bey,M,1,Equal,,Germany,09/03/1986,27,-1,0,69,2.03,2016,2016,0,,0,,0,0,10.01,10.2,7.95,7.9,13.9,7.85,5.9,7.75,9.8,0.64,76,,,,,,,,,,,,69,54,13,0,5,96,86,82,2,7,3,0,0,0,0,13,0,5,8,1,13,3,5,1,32,2,1,0,100,2.257222222,SingleSeaterSeries
José,Torch,M,1,Equal,,Portugal,17/04/1995,7,-1,0,72,2.45,2016,2016,0,,0,,0,0,9.9,9.7,11.2,9.2,12.5,11.25,11.05,6.15,4.1,0.73,26,,,,,,,,,,,,2,41,12,0,2,33,100,70,4,4,5,0,0,0,0,11,0,9,2,2,16,1,7,3,28,2,1,0,100,2.3625,SingleSeaterSeries
Brian,Peters,M,1,Reserve,,UK,28/06/1991,292,-1,0,76,0.64,2016,2016,0,,0,,0,0,8.7,1.25,1.9,8.8,3.6,2.3,4,10.1,5.7,0.47,31,,,,,,,,,,,,22,14,75,0,2,23,21,83,4,4,8,0,0,1,0,3,0,5,8,4,21,5,11,1,30,2,1,0,100,1.2875,SingleSeaterSeries
André,Zoom,M,2,Equal,,Brazil,18/08/1993,4,-1,0,76,2.2,2016,2016,0,,0,,0,0,5.43,8.05,14.42,9.85,12.7,6.33,4.56,13.97,7.5,0.56,55,,,,,,,,,,,,0,51,85,0,5,71,31,77,3,2,5,1,0,0,0,1,0,5,3,8,21,5,2,1,32,2,1,0,100,2.300277778,SingleSeaterSeries
Faith,Anthony,F,2,Equal,,UnitedStates,21/01/1982,22,-1,0,73,1.84,2016,2016,0,,0,,0,0,8.75,5.87,8.29,12.79,11.89,10.51,4.41,8.07,9,0.64,19,,,,,,,,,,,,39,53,64,0,3,82,98,87,1,1,1,0,0,2,0,0,0,3,5,5,16,3,10,3,34,2,1,0,100,2.210555556,SingleSeaterSeries
Theodore,Red,M,2,Reserve,,UK,14/01/1990,292,-1,0,76,0.55,2016,2016,0,,0,,0,0,1.7,2.25,5.9,6.8,7.6,2.3,2,9.1,1.7,0.45,31,,,,,,,,,,,,22,14,75,0,2,23,21,83,4,4,8,0,0,1,0,3,0,5,8,4,21,5,11,1,30,2,1,0,100,1.093055556,SingleSeaterSeries
Charlotte,Bailey,F,3,Equal,,UK,21/02/1979,20,-1,0,76,2.21,2016,2016,0,,0,,0,0,10.05,9.07,5.08,13.07,11.64,11.34,10.78,7.16,4.7,0.84,16,,,,,,,,,,,,75,50,81,0,4,,,,1,6,7,1,0,0,0,7,0,10,8,0,25,2,1,3,31,2,1,0,100,2.3025,Any
