Part Type,Team,TS,ACC,DEC,HSC,MSC,LSC,Reliability,Condition,Age,Performance Improvability
Engine,2,980,,,,,,60,60,19,5
Engine,2,977,,,,,,60,60,28,3
Engine,3,750,,,,,,60,60,28,12
Engine,3,747,,,,,,60,60,14,8
Engine,4,930,,,,,,60,60,23,12
Engine,4,928,,,,,,60,60,2,9
Engine,5,832,,,,,,60,60,19,12
Engine,5,830,,,,,,60,60,5,3
Engine,6,604,,,,,,60,60,3,11
Engine,6,604,,,,,,60,60,20,10
Engine,7,900,,,,,,60,60,22,4
Engine,7,900,,,,,,60,60,3,7
Engine,8,800,,,,,,60,60,28,10
Engine,8,797,,,,,,60,60,33,12
Engine,9,730,,,,,,60,60,26,12
Engine,9,730,,,,,,60,60,34,5
Engine,10,860,,,,,,60,60,27,7
Engine,10,857,,,,,,60,60,14,10
Engine,11,642,,,,,,60,60,35,12
Engine,11,640,,,,,,60,60,3,4
Engine,12,155,,,,,,60,60,19,12
Engine,12,155,,,,,,60,60,28,12
Engine,13,150,,,,,,60,60,28,9
Engine,13,147,,,,,,60,60,14,6
Engine,14,150,,,,,,60,60,23,11
Engine,14,148,,,,,,60,60,2,3
Engine,15,150,,,,,,60,60,19,7
Engine,15,150,,,,,,60,60,5,12
Engine,16,150,,,,,,60,60,3,8
Engine,16,149,,,,,,60,60,20,7
Engine,17,150,,,,,,60,60,22,4
Engine,17,148,,,,,,60,60,3,12
Engine,18,150,,,,,,60,60,28,3
Engine,18,149,,,,,,60,60,33,6
Engine,19,150,,,,,,60,60,26,8
Engine,19,149,,,,,,60,60,34,6
Engine,20,150,,,,,,60,60,27,8
Engine,20,148,,,,,,60,60,14,6
Engine,21,150,,,,,,60,60,35,8
Engine,21,148,,,,,,60,60,3,6
Engine,22,117,,,,,,60,60,20,6
Engine,22,116,,,,,,60,60,26,4
Engine,23,219,,,,,,60,60,18,9
Engine,23,216,,,,,,60,60,9,3
Engine,24,91,,,,,,60,60,22,4
Engine,24,90,,,,,,60,60,28,6
Engine,25,130,,,,,,60,60,15,4
Engine,25,128,,,,,,60,60,15,3
Engine,26,187,,,,,,60,60,9,12
Engine,26,184,,,,,,60,60,7,4
Engine,27,145,,,,,,60,60,22,11
Engine,27,142,,,,,,60,60,18,7
