"Game Area","Source","Criteria","Who","English","ID","Trigger","User Data","Repeatable","Memory","Notes","English Old","French","Italian","German","Spanish","Brasilian","Dutch","Hungarian","Polish","Russian"
"Design","Dilemma","Type = Header;","Engineer","Problem found with ECU","PSG_10006126","Type = Dilemma1;","MailType = Dilemma; MailGroup = Team","TRUE","","","","Problème avec l'UCE","Problema riscontrato con l'ECU","Probleme mit ECU","Hemos encontrado un problema con la UCE","Problema encontrado na UCE","Probleem gevonden met ECU","Probléma az ECU-val","Problem ze sterownikiem wtrysku","Проблемы с ЭУБ"
"Design","Dilemma","Type = Dilemma1;","Engineer","Hi {Player:FirstName},

I've spotted a problem with the electronic control unit. I should have seen it sooner!

We can fix it, but it's going to cost us… If we don't act now, I'm worried that we'll lose some of our fuel efficiency…","PSG_10000699","","MailButton = PSG_10006127; MailButton = PSG_10006128;","TRUE","","","","Bonjour {Player:FirstName},

J'ai repéré un problème avec l'unité de contrôle électrique. J'aurais dû le voir plus tôt !

Nous pouvons la réparer, mais cela va avoir un coût... Si nous n'agissons pas maintenant, j'ai peur que l'on ne perde en efficacité du carburant...","Ciao {Player:FirstName},

Ho rilevato un problema con l'unità del controllo elettronico. Avrei dovuto accorgermene prima!

Possiamo sistemarlo, ma ci costerà un po'... Se non agiamo subito, potremmo perderci nel consumo di carburante...","Hallo, {Player:FirstName},

es gibt ein Problem am elektronischen Steuergerät des Motors. Das hätte ich früher bemerken müssen!

Wir können es reparieren, aber es kostet ... Wenn wir nicht sofort handeln, wirkt sich das auf die Treibstoffeffizienz aus ...","Hola, {Player:FirstName}

He encontrado un problema en la unidad de control electrónico. ¡Debería haberlo visto antes!

Podemos arreglarlo, pero nos va a costar... Si no lo hacemos ahora podríamos sufrir con el consumo de combustible...","Olá {Player:FirstName},

Eu descobri um problema com a unidade de controle eletrônico. Eu deveria ter visto antes!

Nós podemos consertar, mas vai ter um custo alto... se não fizermos isso agora, acho que poderemos perder um pouco da nossa eficiência de combustível...","Hallo {Player:FirstName},

Er is een probleem met de elektronische regeleenheid. Ik had het eerder moeten zien!

We kunnen het oplossen, maar dat gaat geld kosten… Als we nu niet handelen, vrees ik dat we minder efficiënt met onze brandstof zullen omgaan…","Helló, {Player:FirstName},

Észrevettem, hogy probléma van az elektronikus vezérlőegységgel. Hamarabb fel kellett volna, hogy tűnjön!

Meg tudjuk javítani, de pénzbe fog kerülni… Ha most nem cselekszünk, tartok tőle, hogy az üzemanyag-hatásfok rovására fog menni…","Witaj, {Player:FirstName},

Mamy problem ze sterownikiem wtrysku. Niestety dopiero to zauważyliśmy.

Możemy go naprawić, ale to nas będzie kosztowało... Jeśli czegoś nie zrobimy, prawdopodobnie pogorszy nam się spalanie…","Привет, {Player:FirstName}!

Есть проблема с электронным блоком управления. Нужно как можно скорее этим заняться!

Это можно починить, но обойдется это нам... Если не принять мер немедленно, то, боюсь, потеряем в эффективности расхода топлива..."
"Design","DilemmaButtonText","","Engineer","Relax, we can afford it!","PSG_10006127","","Transaction = -0.5;","TRUE","","","","Du calme, on peut se le permettre !","Relax, possiamo permettercelo!","Schon gut, wir können uns das leisten.","¡No pasa nada, podemos permitírnoslo!","Relaxe, nós podemos pagar!","Rustig, we kunnen het ons veroorloven!","Csak nyugi, megengedhetjük magunknak!","Spokojnie, stać nas na naprawy!","Спокойно! Мы это осилим!"
"Design","DilemmaButtonText","","Engineer","Too expensive!","PSG_10006128","","FuelEfficiency = -1;","TRUE","","","","Trop cher !","È troppo costoso!","Zu teuer!","¡Demasiado caro!","Muito caro!","Te duur!","Túl drága!","To zbyt drogie!","Слишком дорого!"
"Design","Dilemma","Type = Header; DilemmaType = NoMaxPerformanceParts;","Assistant","Possible improvements to {Parts}","PSG_10003726","Type = Dilemma2;","MailType = Dilemma; MailGroup = Team","TRUE","","","","Améliorations possibles pour : {Part}","<gender^Part=M>
Possibili miglioramenti per il {Parts}
</gender>
<gender^Part=FP>
Possibili miglioramenti per le {Parts}
</gender>
<gender^Part=MP>
Possibili miglioramenti per i {Parts}
</gender>
<gender^Part=N>
Possibili miglioramenti per l'{Parts}
</gender>
","Mögliche Verbesserungen für {Parts}","{Parts}: posibles mejoras","Possíveis melhorias para {Parts}","Mogelijke verbeteringen voor <lowercase>{Parts}</lowercase>","A(z) {Parts} lehetséges fejlesztései","Możliwe ulepszenia części: {Parts}","Можно улучшить детали: {Parts}"
"Design","Dilemma","Type = Dilemma2;","Assistant","Hi {Player:FirstName},

One of our guys just had a great new idea about the {Parts}... I won't bore you with the details, but if we were to re-engineer the electronics, we'd get some seriously good performance out of it!

The only downside is, it's going to cost us...","PSG_10006130","","MailButton = PSG_10006131; MailButton = PSG_10006132;","TRUE","","","","Bonjour {Player:FirstName},

Un de nos gars a eu une bonne idée au sujet d'une pièce ({Part})... Je vous passe les détails, mais si nous revoyons l'électronique, nous gagnerons énormément en performance !

Le seul problème, c'est que ça a un coût…
","<gender^Part=M>
Ciao {Player:FirstName},

Uno dei nostri ha appena avuto una grandiosa idea riguardo il {Parts}... Ti risparmio i dettagli, ma se riprogettassimo la parte elettronica, potremmo ottenere delle ottime prestazioni!

Il lato negativo è che ci costerà un po'...
</gender>
<gender^Part=FP>
Ciao {Player:FirstName},

Uno dei nostri ha appena avuto una grandiosa idea riguardo le {Parts}... Ti risparmio i dettagli, ma se riprogettassimo la parte elettronica, potremmo ottenere delle ottime prestazioni!

Il lato negativo è che ci costerà un po'...
</gender>
<gender^Part=MP>
Ciao {Player:FirstName},

Uno dei nostri ha appena avuto una grandiosa idea riguardo i {Parts}... Ti risparmio i dettagli, ma se riprogettassimo la parte elettronica, potremmo ottenere delle ottime prestazioni!

Il lato negativo è che ci costerà un po'...
</gender>
<gender^Part=N>
Ciao {Player:FirstName},

Uno dei nostri ha appena avuto una grandiosa idea riguardo l'{Parts}... Ti risparmio i dettagli, ma se riprogettassimo la parte elettronica, potremmo ottenere delle ottime prestazioni!

Il lato negativo è che ci costerà un po'...
</gender>
","Hallo, {Player:FirstName},

hier hatte gerade jemand eine Idee für die {Parts} ... Ich will Sie nicht mit Details langweilen, aber wenn wir die Elektronik umbauen, würden wir eine richtig gute Leistung bekommen!

Der Nachteil sind allerdings die Kosten ...","Hola {Player:FirstName},

A uno de nuestros chicos se le ha ocurrido una idea para mejorar una pieza ({Part})... No quiero aburrirte con los detalles, pero, si modificamos un poco la electrónica, ¡el rendimiento aumentaría considerablemente!

El único problema es el coste...","<gender^Part=F>

Olá {Player:FirstName},

Um dos nossos rapazes teve uma ótima ideia para a {Parts}... eu não vou matar você de tédio com todos os detalhes, mas se modificarmos a parte eletrônica, poderemos ter um desempenho bem melhor!

A desvantagem é que isso vai nos custar...

</gender>
<gender^Part=M>

Olá {Player:FirstName},

Um dos nossos rapazes teve uma ótima ideia para o {Parts}... eu não vou matar você de tédio com todos os detalhes, mas se modificarmos a parte eletrônica, poderemos ter um desempenho bem melhor!

A desvantagem é que isso vai nos custar...

</gender>
<gender^Part=MP>

Olá {Player:FirstName},

Um dos nossos rapazes teve uma ótima ideia para os {Parts}... eu não vou matar você de tédio com todos os detalhes, mas se modificarmos a parte eletrônica, poderemos ter um desempenho bem melhor!

A desvantagem é que isso vai nos custar...

</gender>","Hallo {Player:FirstName},

Een van onze jongens had een geweldig nieuw idee voor de <lowercase>{Parts}</lowercase>... Ik zal je de details besparen, maar als we de elektronica opnieuw ontwerpen, zouden de prestaties een stuk beter worden!

Het enige nadeel is dat het geld kost...","Helló, {Player:FirstName},

Az egyik srácnak nagyszerű ötlete támadt erről: {Parts}... Nem untatlak a részletekkel, de ha át tudnánk kötni az elektronikát, igen komoly teljesítményt tudnánk nyerni belőle!

Az egyetlen negatívum, hogy pénzbe fog kerülni...","Witaj, {Player:FirstName},

Właśnie wpadliśmy na świetny pomysł na pewną część ({Parts})... Nie będę cię zanudzać szczegółami, ale jeśli odtworzymy jej elektronikę, naprawdę sporo zyskamy na wydajności!

Jedyny problem jest taki, że to będzie kosztowało…","Привет, {Player:FirstName}!

Одному из наших пришла в голову отличная мысль по поводу детали {Part}... Не буду надоедать подробностями, но если бы мы покопались в электронике, это дало бы нам серьезную прибавку к общей эффективности!

Единственный недостаток - цена вопроса..."
"Design","DilemmaButtonText","","Assistant","Let's do it!","PSG_10006131","","Transaction = -0.4; NewPartPerformance = +30;","TRUE","","","","Allons-y !","Si può fare!","Packen wir‘s an!","¡Poneos ahora mismo!","Vamos nessa!","Laten we het doen!","Csináljuk!","Do dzieła!","Так и сделаем!"
"Design","DilemmaButtonText","","Assistant","Am I made of money?","PSG_10006132","","","TRUE","","","","L'argent pousse sur les arbres ?","Pensi che i soldi mi escano dalle orecchie?","Kann ich etwa Geld herbeizaubern?","¿Os creéis que soy un banco?","Acha que sou feito de dinheiro?","Heb ik een geldboom?","Talán szülöm a pénzt? ","Pieniądze nie rosną na drzewach!","Я вам что, денежный мешок?"
"Design","Dilemma","Type = Header; DilemmaType = NoMaxPerformanceParts;","Assistant","New material for the {Parts}?","PSG_10003727","Type = Dilemma3;","MailType = Dilemma; MailGroup = Team","TRUE","","","","Nouveau matériel pour : {Part} ?","<gender^Part=M>
Nuovo materiale per il {Parts}?
</gender>
<gender^Part=FP>
Nuovo materiale per le {Parts}?
</gender>
<gender^Part=MP>
Nuovo materiale per i {Parts}?
</gender>
<gender^Part=N>
Nuovo materiale per l'{Parts}?
</gender>
","Neues Material für {Parts}?","{Parts}: ¿nuevo material?","<gender^Part=FP>
Material novo para as {Parts}?
</gender>
<gender^Part=MP>
Material novo para os {Parts}?
</gender>","Nieuw materiaal voor de <lowercase>{Parts}</lowercase>?","Új alapanyag a(z) {Parts} számára?","Nowy materiał na część: {Parts}?","Новый материал для детали: {Parts}?"
"Design","Dilemma","Type = Dilemma3;","Assistant","Hi {Player:FirstName},

One of the guys in the Design Centre just showed me an article about an exotic new type of alloy, which will really strengthen the quality of our parts.

If we get in touch with the supplier, could we give it a try on our {Parts}?","PSG_10006134","","MailButton = PSG_10006135; MailButton = PSG_10006136;","TRUE","","","","<gender^Part=F>
Bonjour {Player:FirstName},

Un des gars du centre de conception m'a montré un article sur un nouvel alliage qui pourrait renforcer la qualité de nos pièces.

Si nous contactions le fournisseur, pourrions-nous essayer sur notre {Part} ?
</gender>
<gender^Part=M>
Bonjour {Player:FirstName},

Un des gars du centre de conception m'a montré un article sur un nouvel alliage qui pourrait renforcer la qualité de nos pièces.

Si nous contactions le fournisseur, pourrions-nous essayer sur notre {Part} ?
</gender>
<gender^Part=MP>
Bonjour {Player:FirstName},

Un des gars du centre de conception m'a montré un article sur un nouvel alliage qui pourrait renforcer la qualité de nos pièces.

Si nous contactions le fournisseur, pourrions-nous essayer sur nos {Part} ?
</gender>","<gender^Part=M>
Ciao {Player:FirstName},

Uno dei nostri alla Struttura di progettazione mi ha appena mostrato un nuovo tipo di lega in grado di rafforzare la qualità dei nostri componenti.

Se entriamo in contatto con il fornitore, potremmo provarla sul nostro {Parts}, che ne pensi?
</gender>
<gender^Part=FP>
Ciao {Player:FirstName},

Uno dei nostri alla Struttura di progettazione mi ha appena mostrato un nuovo tipo di lega in grado di rafforzare la qualità dei nostri componenti.

Se entriamo in contatto con il fornitore, potremmo provarla sulle nostre {Parts}, che ne pensi?
</gender>
<gender^Part=MP>
Ciao {Player:FirstName},

Uno dei nostri alla Struttura di progettazione mi ha appena mostrato un nuovo tipo di lega in grado di rafforzare la qualità dei nostri componenti.

Se entriamo in contatto con il fornitore, potremmo provarla sui nostri {Parts}, che ne pensi?
</gender>
<gender^Part=N>
Ciao {Player:FirstName},

Uno dei nostri alla Struttura di progettazione mi ha appena mostrato un nuovo tipo di lega in grado di rafforzare la qualità dei nostri componenti.

Se entriamo in contatto con il fornitore, potremmo provarla sul nostro {Parts}, che ne pensi?
</gender>
","Hallo {Player:FirstName},

mir wurde gerade im Entwicklungszentrum ein Artikel über eine völlig neue Art von Legierung gezeigt, die die Qualität unserer Teile enorm steigern könnte.

Wenn wir mit dem Lieferanten in Verbindung treten, könnten wir es an unseren {Parts} probieren?","Hola, {Player:FirstName}

Uno de los muchachos del centro de diseño me acaba de mostrar un artículo sobre una aleación nueva que reforzaría la calidad de nuestras piezas.

Si nos ponemos en contacto con el proveedor, ¿podemos probarla en esta pieza: {Part}?","<gender^Part=FP>
Olá {Player:FirstName},

Um dos rapazes no centro de design acabou de me mostrar um artigo sobre uma nova liga exótica, que irá realmente melhorar a qualidade das nossas peças.

Se conseguirmos falar com o fornecedor, será que podemos tentar usar isso nas nossas {Parts}?
</gender>
<gender^Part=MP>
Olá {Player:FirstName},

Um dos rapazes no centro de design acabou de me mostrar um artigo sobre uma nova liga exótica, que irá realmente melhorar a qualidade das nossas peças.

Se conseguirmos falar com o fornecedor, será que podemos tentar usar isso nos nossos {Parts}?
</gender>","<gender^Parts=M>
Hallo {Player:FirstName},

Een van de jongens in het ontwerpcentrum liet me net een artikel zien over een exotisch nieuw type legering, dat de kwaliteit van onze onderdelen echt een stuk zal verbeteren.

Als we in contact komen met de leverancier, kunnen we het proberen op onze <lowercase>{Part}</lowercase>?
</gender>
<gender^Parts=MP>
Hallo {Player:FirstName},

Een van de jongens in het ontwerpcentrum liet me net een artikel zien over een exotisch nieuw type legering, dat de kwaliteit van onze onderdelen echt een stuk zal verbeteren.

Als we in contact komen met de leverancier, kunnen we het proberen op onze <lowercase>{Part}</lowercase>?
</gender>
<gender^Parts=N>
Hallo {Player:FirstName},

Een van de jongens in het ontwerpcentrum liet me net een artikel zien over een exotisch nieuw type legering, dat de kwaliteit van onze onderdelen echt een stuk zal verbeteren.

Als we in contact komen met de leverancier, kunnen we het proberen op ons <lowercase>{Part}</lowercase>?
</gender>
","Helló, {Player:FirstName},

Az egyik srác a Tervezőközpontban az imént mutatott egy cikket egy egzotikus, újfajta ötvözetről, ami jelentősen erősítene az alkatrészeinken.

Ha sikerül kapcsolatba lépnünk a beszállítóval, tehetünk egy próbát a(z) {Parts} vonatkozásában?","Witaj, {Player:FirstName}!

Taki jeden z ośrodka projektowego pokazał mi artykuł o nowym egzotycznym stopie metali, który naprawdę poprawiłby jakość naszych części.

Może skontaktujemy się z dostawcą? Wypróbujemy to na jakiejś części (może {Parts}?).","Привет, {Player:FirstName}!

Один из парней в центре проектирования только что показал мне статью о новом редком сплаве - он может существенно улучшить качество наших деталей.

Может, стоит связаться с поставщиком и попробовать сделать деталь {Part} для болида пилота {PlayerDriver1:Name}?"
