Location,Circuit ID,Location ID,Country,Country ID,Sprite Name,Scene,Track Layout,Track Length,Travel Cost,Hemisphere,Type,Climate,TS,ACC,DEC,LSC,MSC,HSC,First Tyre Option,Second Tyre Option,Third Tyre Option,Tyre Wear Rate,Fuel Burn Rate,Minimap Rotation,Minimap Axis,Safety Car Flag Chance,Virtual Safety Car Chance,Fastest Lap Time (Minutes),Track Rubber Modifier,Fastest Lap Driver ID
Ardennes,0,PSG_10003764,Belgium,PSG_10000899,Ardennes,Ardennes,A,3.61,0.05,North,Race Event,Moderate,3,1,1,3,1,2,SuperSoft,Soft,Medium,Low,High,0,x,0.65,0.5,1.883478261,1,1
Beijing,1,PSG_10003765,China,PSG_10000920,Beijing,Beijing,A,2.73,0.12,North,Race Event,Moderate,3,2,3,3,1,1,SuperSoft,Soft,Medium,Medium,Low,0,x,0.6,0.35,1.424347826,1,2
Beijing,2,PSG_10003765,China,PSG_10000920,Beijing,Beijing,B,2.33,0.12,North,Race Event,Moderate,3,3,3,2,1,1,Soft,Medium,Hard,Medium,Low,0,x,0.6,0.35,1.215652174,1,3
Beijing,3,PSG_10003765,China,PSG_10000920,Beijing,Beijing,C,2.73,0.12,North,Race Event,Moderate,3,2,1,3,1,1,SuperSoft,Soft,Medium,Medium,Low,0,x,0.6,0.35,1.424347826,1,4
Beijing,4,PSG_10003765,China,PSG_10000920,Beijing,Beijing,D,2.53,0.12,North,Race Event,Moderate,3,3,2,3,1,1,SuperSoft,Soft,Medium,Medium,Low,0,x,0.6,0.35,1.32,1,5
Beijing,5,PSG_10003765,China,PSG_10000920,Beijing,Beijing,E,2.06,0.12,North,Race Event,Moderate,3,3,1,2,1,3,Soft,Medium,Hard,Medium,Low,0,x,0.6,0.35,1.074782609,1,6
Vancouver,6,PSG_10003766,Canada,PSG_10000914,Vancouver,Vancouver,A,3.39,0.075,North,Race Event,Moderate,2,1,1,1,3,3,SuperSoft,Soft,Medium,High,High,0,x,0.7,0.25,1.768695652,1,7
Vancouver,7,PSG_10003766,Canada,PSG_10000914,Vancouver,Vancouver,B,2.75,0.075,North,Race Event,Moderate,2,2,1,1,3,3,UltraSoft,SuperSoft,Soft,High,Medium,0,x,0.7,0.25,1.434782609,1,8
Vancouver,8,PSG_10003766,Canada,PSG_10000914,Vancouver,Vancouver,C,2.55,0.075,North,Race Event,Moderate,2,3,1,3,3,2,UltraSoft,SuperSoft,Soft,High,Medium,0,x,0.7,0.25,1.330434783,1,9
Vancouver,47,PSG_10003766,Canada,PSG_10000914,Vancouver,Vancouver,D,1.85,0.075,North,Race Event,Moderate,2,3,1,3,3,2,UltraSoft,SuperSoft,Soft,Medium,Medium,0,x,0.7,0.25,0.965217391,1,10
Guildford,9,PSG_10003767,UK,PSG_10001069,Guildford,Guildford,A,3.47,0.05,North,Race Event,Cool,3,1,1,1,3,3,SuperSoft,Soft,Medium,VeryHigh,Low,0,x,0.6,0.4,1.810434783,1,11
Guildford,10,PSG_10003767,UK,PSG_10001069,Guildford,Guildford,B,2.55,0.05,North,Race Event,Cool,3,1,1,1,2,3,Soft,Medium,Hard,VeryHigh,VeryLow,0,x,0.6,0.4,1.330434783,1,12
Tondela,11,PSG_10003768,Portugal,PSG_10001023,Madrid,Madrid,A,3.08,0.05,North,Race Event,Warm,1,3,1,3,2,1,Soft,Medium,Hard,High,Medium,0,x,0.65,0.2,1.606956522,1,13
Tondela,12,PSG_10003768,Portugal,PSG_10001023,Madrid,Madrid,B,2.4,0.05,North,Race Event,Warm,1,3,1,3,2,1,SuperSoft,Soft,Medium,High,Medium,0,x,0.65,0.2,1.252173913,1,14
Tondela,13,PSG_10003768,Portugal,PSG_10001023,Madrid,Madrid,C,3.08,0.05,North,Race Event,Warm,1,3,1,3,2,1,Soft,Medium,Hard,High,Medium,0,x,0.65,0.2,1.606956522,1,15
