Part Type,Company Name,ID,Logo ID,Price,Fuel Efficiency,Improveability,Tyre Wear,Tyre Heating,Overcharge Zone,Starting Charge,Harvest Efficiency Min,Harvest Efficiency Max,Hybrid Gates,Power Gates,Charge Size,BatteryType,Min Boundary,Max Boundary,Starting Level Min,Starting Level Max,Tier,Team Discount,Discount Amount,Teams That Cannot Buy This,Description
Battery,Matsutronics,80,14,1.2,NA,NA,NA,NA,2,75,0.35,0.5,,,,,,,,,1,,,,
Battery,XLQ-Power,190,1,1.2,NA,NA,NA,NA,0,5,0.25,0.1,,,,,,,,,1,,,,
Battery,Huang Lin Racing Technology,191,2,3.3,NA,NA,NA,NA,4,10,0.35,0.05,,,,,,,,,1,,,,
Battery,Electrfi,192,3,2.1,NA,NA,NA,NA,4,5,0.4,0.1,,,,,,,,,1,,,,
Battery,Matsutronics,193,4,2.5,NA,NA,NA,NA,0,20,0.15,0.2,,,,,,,,,1,,,,
Battery,Xenos Electrical Engineering,194,5,1,NA,NA,NA,NA,2,5,0.5,0,,,,,,,,,1,,,,
Battery,XLQ-Power,195,6,1.9,NA,NA,NA,NA,12,30,0.1,0.45,,,,,,,,,1,,,,
Battery,Huang Lin Racing Technology,196,7,5.2,NA,NA,NA,NA,10,35,0.4,0.55,,,,,,,,,1,,,,
Battery,Electrfi,197,8,4,NA,NA,NA,NA,4,25,0.55,0.05,,,,,,,,,1,,,,
Battery,Matsutronics,198,9,3.1,NA,NA,NA,NA,8,5,0.35,0.05,,,,,,,,,1,,,,
Battery,XLQ-Power,199,10,1.9,NA,NA,NA,NA,16,40,0.35,0.25,,,,,,,,,1,,,,
Battery,Electrfi,200,11,5.1,NA,NA,NA,NA,16,65,0.25,0.7,,,,,,,,,1,,,,
Battery,Matsutronics,201,12,8.1,NA,NA,NA,NA,8,65,0.45,0.6,,,,,,,,,1,,,,
Battery,Huang Lin Racing Technology,202,13,7.3,NA,NA,NA,NA,22,85,0.35,0.9,,,,,,,,,1,,,,
Battery,Xenos Electrical Engineering,203,15,10.7,NA,NA,NA,NA,28,55,0.35,0.25,,,,,,,,,1,,,,
ChassisMaterials,Carbulon,15,10,8,NA,NA,-6,-8,,,,,,,,,,NoseHeight = 0.02; RearPackage = 0.1,,,1,,,,
ChassisMaterials,Morimoto Materials,16,11,10,NA,NA,8,-3,,,,,,,,,,NoseHeight = 0.18; RearPackage = 0.02,,,1,,,,
ChassisMaterials,XCT Alloys,17,12,12,NA,NA,15,1,,,,,,,,,,NoseHeight = 0.08; RearPackage = 0.22,,,1,,,,
ChassisMaterials,Polymat Group,18,13,13,NA,NA,-5,4,,,,,,,,,,NoseHeight = 0.22; RearPackage = 0.23,,,1,,,,
ChassisMaterials,Carbulon,19,14,19,NA,NA,15,4,,,,,,,,,,NoseHeight = 0.24; RearPackage = 0.2,,,1,,,,
ChassisMaterials,Tectra Fibres,160,1,6,NA,NA,-4,-2,,,,,,,,,,NoseHeight = 0.01; RearPackage = 0.01,,,1,,,,
ChassisMaterials,Polymat Group,161,2,7,NA,NA,3,6,,,,,,,,,,NoseHeight = 0.04; RearPackage = 0.02,,,1,,,,
ChassisMaterials,Carbulon,162,3,8,NA,NA,3,-7,,,,,,,,,,NoseHeight = 0.02; RearPackage = 0.01,,,1,,,,
ChassisMaterials,Morimoto Materials,163,4,7,NA,NA,-7,7,,,,,,,,,,NoseHeight = 0.06; RearPackage = 0.04,,,1,,,,
ChassisMaterials,XCT Alloys,164,5,5,NA,NA,3,2,,,,,,,,,,NoseHeight = 0.08; RearPackage = 0.09,,,1,,,,
ChassisMaterials,Polymat Group,165,6,11,NA,NA,7,-2,,,,,,,,,,NoseHeight = 0.06; RearPackage = 0.05,,,1,,,,
ChassisMaterials,Carbulon,166,7,6,NA,NA,2,7,,,,,,,,,,NoseHeight = 0.14; RearPackage = 0.04,,,1,,,,
ChassisMaterials,Morimoto Materials,167,8,5,NA,NA,13,-8,,,,,,,,,,NoseHeight = 0.02; RearPackage = 0.15,,,1,,,,
ChassisMaterials,XCT Alloys,168,9,14,NA,NA,12,12,,,,,,,,,,NoseHeight = 0.1; RearPackage = 0.06,,,1,,,,
ChassisMaterials,Morimoto Materials,169,15,15,NA,NA,0,-4,,,,,,,,,,NoseHeight = 0.04; RearPackage = 0.2,,,1,,,,
ECU,Micronix Racing,5,11,7.5,NA,NA,6,-2.5,,,,,,,,,,NoseHeight = 0.2; RearPackage = 0.06,,,1,,,,
ECU,Micronix Racing,6,12,6.5,NA,NA,4.5,-1,,,,,,,,,,NoseHeight = 0.06; RearPackage = 0.12,,,1,,,,
ECU,Micronix Racing,7,13,7,NA,NA,7,2,,,,,,,,,,NoseHeight = 0.13; RearPackage = 0.1,,,1,,,,
ECU,Micronix Racing,8,14,5,NA,NA,4.5,-1,,,,,,,,,,NoseHeight = 0.24; RearPackage = 0.17,,,1,,,,
ECU,Micronix Racing,9,15,5.5,NA,NA,10,9,,,,,,,,,,NoseHeight = 0.12; RearPackage = 0.16,,,1,,,,
ECU,Micronix Racing,180,1,5.5,NA,NA,0,-1.5,,,,,,,,,,NoseHeight = 0.02; RearPackage = 0,,,1,,,,
ECU,Micronix Racing,181,2,5.5,NA,NA,0.5,-2.5,,,,,,,,,,NoseHeight = 0.01; RearPackage = 0.04,,,1,,,,
ECU,Micronix Racing,182,3,5.5,NA,NA,1.5,3.5,,,,,,,,,,NoseHeight = 0.03; RearPackage = 0.02,,,1,,,,
ECU,Micronix Racing,183,4,7,NA,NA,2,-3,,,,,,,,,,NoseHeight = 0.07; RearPackage = 0.07,,,1,,,,
ECU,Micronix Racing,184,5,6.5,NA,NA,-2.5,3.5,,,,,,,,,,NoseHeight = 0.05; RearPackage = 0.1,,,1,,,,
ECU,Micronix Racing,185,6,5.5,NA,NA,3,-3.5,,,,,,,,,,NoseHeight = 0.08; RearPackage = 0.04,,,1,,,,
ECU,Micronix Racing,186,7,5,NA,NA,0.5,1,,,,,,,,,,NoseHeight = 0.1; RearPackage = 0.1,,,1,,,,
ECU,Micronix Racing,187,8,6.5,NA,NA,4.5,2.5,,,,,,,,,,NoseHeight = 0.02; RearPackage = 0.07,,,1,,,,
ECU,Micronix Racing,188,9,6,NA,NA,-3,2.5,,,,,,,,,,NoseHeight = 0.01; RearPackage = 0.16,,,1,,,,
ECU,Micronix Racing,189,10,8.5,NA,NA,-1,4.5,,,,,,,,,,NoseHeight = 0.18; RearPackage = 0,,,1,,,,
Engine,Mersault MK1,0,11,9,-7,-4,NA,NA,,,,,,,,,NoseHeight = 0.2; RearPackage = 0.04,,26,129,1,,,,
Engine,Shimizu,1,12,8,10,12,NA,NA,,,,,,,,,NoseHeight = 0.09; RearPackage = 0.12,,21,25,1,,,,
Engine,Rossini,2,13,16,-4,17,NA,NA,,,,,,,,,NoseHeight = 0.09; RearPackage = 0.14,,11,47,1,,,,
Engine,Mersault MK2,3,14,7,17,3,NA,NA,,,,,,,,,NoseHeight = 0.02; RearPackage = 0.18,,19,69,1,,,,
Engine,Shimizu RA1,4,15,13,5,13,NA,NA,,,,,,,,,NoseHeight = 0.08; RearPackage = 0.27,,23,41,1,,,,
Engine,Steinmann X,150,1,6,3,-2,NA,NA,,,,,,,,,NoseHeight = 0.01; RearPackage = 0,,1,2,1,,,,
Engine,Rossini Velocità,151,2,7,7,-1,NA,NA,,,,,,,,,NoseHeight = 0.04; RearPackage = 0.04,,9,43,1,,,,
Engine,Kitano,152,3,5,5,3,NA,NA,,,,,,,,,NoseHeight = 0.06; RearPackage = 0.04,,2,6,1,,,,
Engine,Mersault MK3,153,4,5,0,2,NA,NA,,,,,,,,,NoseHeight = 0.05; RearPackage = 0,,12,47,1,,,,
Engine,Hammer,154,5,8,-2,8,NA,NA,,,,,,,,,NoseHeight = 0.08; RearPackage = 0.01,,17,38,1,,,,
Engine,Steinmann ,155,6,11,4,4,NA,NA,,,,,,,,,NoseHeight = 0.08; RearPackage = 0.03,,20,29,1,,,,
Engine,Rossini,156,7,9,5,4,NA,NA,,,,,,,,,NoseHeight = 0.01; RearPackage = 0.02,,29,140,1,,,,
Engine,Mersault MK2,157,8,10,7,1,NA,NA,,,,,,,,,NoseHeight = 0.04; RearPackage = 0.15,,13,52,1,,,,
Engine,Shimizu RA1,158,9,8,4,-7,NA,NA,,,,,,,,,NoseHeight = 0.12; RearPackage = 0.17,,37,66,1,,,,
Engine,Rossini,159,10,15,1,8,NA,NA,,,,,,,,,NoseHeight = 0.2; RearPackage = 0.1,,45,171,1,,,,
ERS,Flywheel,137,1,3,,,,,0,0,0.6,0.6,1750,150,100,Flywheel,,,,,1,,,,PSG_10013542
ERS,Battery,204,2,3,,,,,0,100,0.75,0.75,1000,300,100,Battery,,,,,1,,,,PSG_10013543
ERS,Supercapacitor,205,3,3,,,,,0,25,1,1,500,450,50,SuperCapacitor,,,,,1,,,,PSG_10013544
Fuel,Imperial Petroleum,10,11,8,-3,-4,NA,NA,,,,,,,,,NoseHeight = 0.07; RearPackage = 0.07,,,,1,,,,
Fuel,Imperial Petroleum,11,12,5.5,5.5,5.5,NA,NA,,,,,,,,,NoseHeight = 0.21; RearPackage = 0.05,,,,1,,,,
Fuel,Imperial Petroleum,12,13,8,1.5,6.5,NA,NA,,,,,,,,,NoseHeight = 0.11; RearPackage = 0.06,,,,1,,,,
Fuel,Imperial Petroleum,13,14,7,0,0.5,NA,NA,,,,,,,,,NoseHeight = 0.2; RearPackage = 0.13,,,,1,,,,
Fuel,Imperial Petroleum,14,15,6,4,-3.5,NA,NA,,,,,,,,,NoseHeight = 0.25; RearPackage = 0.26,,,,1,,,,
Fuel,Imperial Petroleum,170,1,5.5,1,0.5,NA,NA,,,,,,,,,NoseHeight = 0; RearPackage = 0.02,,,,1,,,,
Fuel,Imperial Petroleum,171,2,5.5,3.5,1,NA,NA,,,,,,,,,NoseHeight = 0.01; RearPackage = 0.02,,,,1,,,,
Fuel,Imperial Petroleum,172,3,6,1.5,-1.5,NA,NA,,,,,,,,,NoseHeight = 0.01; RearPackage = 0.06,,,,1,,,,
Fuel,Imperial Petroleum,173,4,6.5,-2.5,-1.5,NA,NA,,,,,,,,,NoseHeight = 0.08; RearPackage = 0.01,,,,1,,,,
Fuel,Imperial Petroleum,174,5,5,-3,-2.5,NA,NA,,,,,,,,,NoseHeight = 0.02; RearPackage = 0.07,,,,1,,,,
Fuel,Imperial Petroleum,175,6,5.5,3,2,NA,NA,,,,,,,,,NoseHeight = 0.09; RearPackage = 0.1,,,,1,,,,
Fuel,Imperial Petroleum,176,7,6.5,-2,2.5,NA,NA,,,,,,,,,NoseHeight = 0.03; RearPackage = 0.13,,,,1,,,,
Fuel,Imperial Petroleum,177,8,6,-2,5,NA,NA,,,,,,,,,NoseHeight = 0.14; RearPackage = 0.15,,,,1,,,,
Fuel,Imperial Petroleum,178,9,8.5,2,-0.5,NA,NA,,,,,,,,,NoseHeight = 0.03; RearPackage = 0.1,,,,1,,,,
Fuel,Imperial Petroleum,179,10,6.5,7.5,3,NA,NA,,,,,,,,,NoseHeight = 0.17; RearPackage = 0.04,,,,1,,,,
Battery,Huang Lin Racing Technology,84,13,1.9,NA,NA,NA,NA,12,5,0.6,0.9,,,,,,,,,2,,,,
Battery,XLQ-Power,250,1,1.5,NA,NA,NA,NA,0,20,0.2,0.15,,,,,,,,,2,,,,
Battery,Huang Lin Racing Technology,251,2,1.4,NA,NA,NA,NA,4,0,0.05,0.35,,,,,,,,,2,,,,
Battery,Electrfi,252,3,2.3,NA,NA,NA,NA,2,15,0.15,0.2,,,,,,,,,2,,,,
Battery,Matsutronics,253,4,0.9,NA,NA,NA,NA,6,10,0,0.45,,,,,,,,,2,,,,
Battery,Xenos Electrical Engineering,254,5,3.3,NA,NA,NA,NA,2,25,0.4,0.1,,,,,,,,,2,,,,
Battery,XLQ-Power,255,6,1.8,NA,NA,NA,NA,2,40,0.4,0.25,,,,,,,,,2,,,,
Battery,Huang Lin Racing Technology,256,7,3.2,NA,NA,NA,NA,8,10,0.25,0.35,,,,,,,,,2,,,,
Battery,Electrfi,257,8,3.9,NA,NA,NA,NA,16,30,0.2,0.4,,,,,,,,,2,,,,
Battery,Matsutronics,258,9,5.9,NA,NA,NA,NA,2,30,0.4,0.65,,,,,,,,,2,,,,
Battery,XLQ-Power,259,10,4.5,NA,NA,NA,NA,16,30,0.15,0,,,,,,,,,2,,,,
