ID,Trait Name,Name ID,Custom Trait Name,Text ID,Icon Path,Icon,Part,Level,Type,Activation Requirement,Risk Level,Stat Boost,Max Stat Boost,Reliability Boost,Max Reliability Boost,Production Time,Cost,Red Zone,Bonus,Bonus Type,AggressiveTeamWeightings,PassiveTeamWeightings
2,{Stat}: +20,PSG_10004941,<b>Performance:</b> +20,,PartIconID2,2,All,1,Stock,,,20,,,,,,,,,1,1
3,Reliability: +15%,PSG_10004942,"<b>Reliability:</b> +10%
<b>Max Reliability:</b> +10%",,PartIconID3,4,All,1,Stock,,,,,10,10,,,,,,1,1
4,{Stat}: +25 to Max,PSG_10004943,"<b>Performance:</b> +35 to Max
<b>Driver Cornering:</b> +1",,PartIconID4,2,All,1,Stock,,,,35,,,,,,1,DriverCornering,1,1
5,"{Stat}: +25 to Max
{Stat}: +15",PSG_10004944,"<b>Performance:</b> +15
<b>Performance:</b> +25 to Max",,PartIconID5,6,All,1,Risky,,,15,25,,,,,,,,1,1
6,Red Zone: -10%,PSG_10004945,<b>Red Zone:</b> -10%,,PartIconID6,0,All,1,Stock,,,,,,,,,-10,,,1,1
7,"{Stat}: +15
Reliability: +15%",PSG_10004946,"<b>Performance:</b> +15
<b>Reliability:</b> +15%",,PartIconID7,2,All,1,Stock,,,15,,15,,,,,,,1,1
8,"{Stat}: +25
Red Zone: -5%
Additional Cost: {Cost}",PSG_10004947,"<b>Build Time:</b> +3 Days
<b>Performance:</b> +25
<b>Red Zone:</b> -5%",,PartIconID8,7,All,1,Risky,,,25,,,,3,,-5,,,1,1
9,"Build Time: + 2 Days
{Stat}: +50
Additional Cost: {Cost}",PSG_10004948,"<b>Build Time:</b> +6 Days
<b>Performance:</b> +50",,PartIconID9,4,All,2,Stock,,,50,,,,8,,,,,1,1
11,"{Stat}: +90
 During: Qualifying",PSG_10004949,"<b>Performance:</b> +90
<b>During:</b> Qualifying",,PartIconID2,7,Engine,2,Stock,Qualifying,,90,,,,,,,,,1,1
12,"Reliability: +30%
{Stat}: -10",PSG_10004950,"<b>Performance:</b> -10
<b>Reliability:</b> +30%
<b>Max Reliability:</b> +10%
<b>Red Zone</b>: -10%",,PartIconID12,1,All,2,Stock,,,-10,,30,10,,,-10,,,1,1
13,{Stat}: +30,PSG_10004951,<b>Performance:</b> +30,,PartIconID2,5,All,2,Stock,,,30,,,,,,,,,1,1
14,"Build Time: +2 Days
{Stat}: +25
Reliability: +5%",PSG_10004952,"<b>Build Time:</b> +2 Days
<b>Performance:</b> +25
<b>Reliability:</b> +5%",,PartIconID14,1,All,2,Stock,,,25,,5,,4,,,,,1,1
