ID,Trait Name,Trait Name ID,Custom Trait Name,Trait Description,Description ID,Custom Trait Description,Type,Repeatable,Length,EventTrigger,Requirement,Probability,Evolves Into,Opposites,Removes Traits,Triggers,TriggersEnd,Shown,All Stats,Braking,Cornering,Smoothness,Overtaking,Consistency,Adaptability,Fitness,Feedback,Focus,Special Case,Special Case Text,Special Case Description,Marketability,Morale,Mechanic,Teammate,Chairman,Improveability,Potential,Fuel Burn,Tyre Wear,Desired Wins,Desired Earnings,Patience
1,Team Player,PSG_10001311,,The team comes first.,PSG_10001312,,Permanent,,,,,,,2,1,,,,,,,,,,,,,,,,,,,20,20,20,,,,,,,
2,Selfish,PSG_10001313,,I think Ill take that new part...,PSG_10001314,,Permanent,,,,,,,1,2,,,,,,,,,,,,,,,,,,,-30,-30,-30,,,,,,,
3,Media Shy,PSG_10001315,,An interview? Uh-oh...,PSG_10001316,,Permanent,,,,,,,4; 289,3,,,,,,,,,,,,,,,,,-60,,,,,,,,,,,
4,Narcissist,PSG_10001317,,Dont touch my hair!,PSG_10001318,,Permanent,,,,,,,3,4,,,,,,,,,,,,,,,,,60,,,,,,,,,,,
5,Ambitious,PSG_10001319,,My talent has no limits!,PSG_10001320,,Permanent,,,,,,,7,5,,,,,,,,,,,,,,NeedMoreTrophiesBeforeRetiring,Driver wants to win trophies before retirement.,PSG_10011092,,,,,,,,,,20,,
6,Wonderkid,PSG_10007585,,The skys the limit!,PSG_10007586,,Permanent,,,,Age < 21; Potential > 50,,,,6,,,,,,,,,,,,,,,,,,,,,,,50,,,,,
7,Content,PSG_10002044,,Im happy where I am.,PSG_10002045,,Permanent,,,,,,,5,7,,,,,,,,,,,,,,NeedLessTrophiesBeforeRetiring,Driver doesn't care about winning trophies before retirement.,PSG_10011230,,30,,,,,,,,-20,-200,
8,Fearless,PSG_10002046,,I laugh in the face of danger.,PSG_10002378,,Permanent,,,,,,,9,8,,,,,5,,,5,,,,,,,,,,,,,,,,,,,,
9,Scaredy Cat,PSG_10002047,,Have you double-checked the safety equipment?,PSG_10002589,,Permanent,,,,,,,8,9,,,,,-5,,,-5,,,,,,,,,,,,,,,,,,,,
10,Smart,PSG_10002048,,"As Voltaire once said, a witty saying proves nothing.",PSG_10003649,,Permanent,,,,,,,11,10,,,,,,,,,,5,,5,,,,,,,,,,,,,,,,
11,Dumb,PSG_10002049,,Well nobody told me <i>not</i> to juggle the brake discs.,PSG_10002722,,Permanent,,,,,,,10,11,,,,,,,,,,-5,,-5,,,,,,,,,,,,,,,,
12,Shy and Retiring,PSG_10003740,,Nothing beats a night in with a good book.,PSG_10002593,,Permanent,,,,,,,4,12,,,,,,,,,,,,,,,,,-15,20,,,,,,,,,,
13,Spoilt,PSG_10003741,,"What, you didnt have your own helicopter as a kid?",PSG_10003742,,Permanent,,,,,,,1; 14,13,,,,,,,,,,,,,,,,,,,-45,,,,,,,,,
14,Grounded,PSG_10002054,,Just off down the pub with the mechanics!,PSG_10002594,,Permanent,,,,,,,13; 2; 4,14,,,,,,,,,,,,,,,,,25,,30,,,,,,,,,
15,Ice man,PSG_10002055,,No.,PSG_10002647,,Permanent,,,,,,,4,15,,,,,,,,,,,,,5,,,,-25,,,,,,,,,,,
