ID,Staff Primary,Staff Secondary,Helmet Primary,Helmet Secondary,Helmet Tertiary,Normal UI,Highlighted UI,Pressed UI,Disabled UI,Secondary Normal UI,Secondary Highlighted UI,Secondary Pressed UI,Secondary Disabled UI,Car,Primary,Secondary,Tertiary,Trim,Livery Color 1,Livery Color 2,Livery Color 3,Livery Color 4,Livery Color 5,Livery Color 6,Livery Color 7,Livery Color 8,Livery Color 9,Livery Color 10,Light Sponsor 1,Light Sponsor 2,Light Sponsor 3,Light Sponsor 4,Dark Sponsor 1,Dark Sponsor 2,Dark Sponsor 3,Dark Sponsor 4
0,#797979,#797979,#797979,#797979,#b3b3b3,#797979,#b3b3b3,#7b7b7b,#5d5d5d,#797979,#b3b3b3,#7b7b7b,#5d5d5d,#f3f3f3,#f3f3f3,#f3f3f3,#f3f3f3,#f3f3f3,#f3f3f3,#f3f3f3,#f3f3f3,#f3f3f3,#f3f3f3,#f3f3f3,#f3f3f3,#f3f3f3,#f3f3f3,#f3f3f3,#ffffff,#ffffff,#ffffff,#8c8c8c,#0d0d0d,#0d0d0d,#232323,#232323
1,#1c9e98,#ffffff,#1c9e98,#ffffff,#58afb0,#1c9e98,#58afb0,#058076,#323232,#1c9e98,#1c9e98,#1c9e98,#323232,#1c9e98,#ffffff,#232323,#11c6ac,#232323,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#02302e,#1c9e98,#11c6ac,#e74242,#9A1551,#11c6ac,#e74242,#ffffff,#1c9e98,#0d0d0d,#02302e,#4d0f2d,#232323
2,#a14d7c,#ffce00,#a14d7c,#ffce00,#a14d7c,#83419d,#83419d,#83419d,#323232,#83419d,#83419d,#83419d,#323232,#a14d7c,#0a0202,#a14d7c,#ffce00,#0a0202,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#ffce00,#ff9000,#6d3688,#c64b8f,#a14d7c,#ffffff,#ffce00,#c64b8f,#a14d7c,#0d0d0d,#501f68,#5c4804,#232323
3,#e5e5e5,#5568b0,#5568b0,#d44040,#e5e5e5,#aeaeae,#aeaeae,#aeaeae,#323232,#aeaeae,#aeaeae,#aeaeae,#323232,#d44040,#ffffff,#0a1a29,#d44040,#ffffff,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#0a1a29,#5568b0,#5abcd6,#690000,#d44040,#ffffff,#5abcd6,#d44040,#5568b0,#0d0d0d,#0a1a29,#510103,#2F2933
4,#ae2324,#ffffff,#ae2324,#ffffff,#c02925,#ae2324,#c02925,#8b1e20,#323232,#ae2324,#ae2324,#ae2324,#323232,#f62828,#f62828,#0a0202,#ff9000,#690000,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#690000,#f62828,#ff9000,#ff9000,#ffce00,#ffffff,#ffce00,#ff9000,#f62828,#0d0d0d,#510103,#712d0b,#232323
5,#232323,#c61a1a,#232323,#c61a1a,#5d5d5d,#5d5d5d,#5d5d5d,#5d5d5d,#303030,#5d5d5d,#5d5d5d,#5d5d5d,#303030,#232323,#232323,#ffffff,#f62828,#0a0202,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#690000,#c61a1a,#f62828,#FF6517,#fbbf2a,#e2e2e2,#fbbf2a,#f62828,#FF6517,#0d0d0d,#510103,#712d0b,#232323
6,#ff9000,#1c1c1c,#ff9000,#1c1c1c,#ff9000,#ff9000,#ff9000,#ff9000,#323232,#ff9000,#ff9000,#ff9000,#323232,#ff9000,#ff9000,#e5e5e5,#232323,#232323,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#b56e1a,#da8f38,#b28800,#ff9000,#a14d7c,#da8f38,#b28800,#ffffff,#8c8c8c,#0d0d0d,#4d0f2d,#554007,#2F2933
7,#d44040,#3670a9,#d44040,#3670a9,#5083b5,#3670a9,#5083b5,#1e4b77,#323232,#3670a9,#3670a9,#3670a9,#323232,#364a91,#d44040,#173d5c,#d44040,#173d5c,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#173d5c,#364a91,#5abcd6,#690000,#d44040,#ffffff,#5abcd6,#d44040,#5397a9,#0d0d0d,#510103,#173d5c,#232323
8,#6bec97,#257b3e,#6bec97,#257b3e,#c3b73a,#6bec97,#c3b73a,#958f34,#323232,#5eaf45,#5eaf45,#5eaf45,#323232,#6bec97,#6bec97,#232323,#257b3e,#f3a50d,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#082600,#257b3e,#6bec97,#f3a50d,#fadb06,#ffffff,#fadb06,#6bec97,#f3a50d,#0d0d0d,#082600,#554007,#232323
9,#b64e9d,#d9d9d9,#b64e9d,#d9d9d9,#c76dab,#b64e9d,#c76dab,#93387d,#323232,#b64e9d,#b64e9d,#b64e9d,#323232,#b64e9d,#8c8c8c,#a14d7c,#0a0202,#a14d7c,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#a14d7c,#a14d7c,#c64b8f,#917127,#cfae5e,#dadada,#cfae5e,#a14d7c,#917127,#0d0d0d,#4d0f2d,#554007,#232323
